SignalTime,Instrument,Direction,Score,Strike,EntryPrice,ExpiryPrice,ExpiryTime,Result,Spread_pips,MAE_pips,MFE_pips
2026-06-09 08:15:00,EURAUD,SELL,-7,29,1.63437,1.63569,2026-06-09 09:15:00,LOSS,1.5,18.1,6.4
2026-06-09 10:15:00,EURGBP,SELL,-7,9,0.86297,0.86315,2026-06-09 11:15:00,LOSS,1.5,4.4,1.8
2026-06-09 12:30:00,AUDUSD,BUY,+6,16,0.70573,0.70576,2026-06-09 13:30:00,LOSS,1.5,2.6,2.8
2026-06-09 12:45:00,GBPJPY,BUY,+6,33,214.56600,214.62600,2026-06-09 13:45:00,WIN,1.5,5.4,6.7
2026-06-09 13:00:00,EURGBP,SELL,-6,9,0.86334,0.86339,2026-06-09 14:00:00,LOSS,1.5,2.3,1.2
2026-06-09 16:15:00,EURGBP,SELL,-6,9,0.86314,0.86301,2026-06-09 17:15:00,LOSS,1.5,1.5,4.0
2026-06-09 20:45:00,EURGBP,SELL,-8,9,0.86265,0.86251,2026-06-09 21:45:00,LOSS,1.5,0.8,1.5
2026-06-09 20:45:01,GBPCHF,BUY,+7,12,1.06809,1.06847,2026-06-09 21:45:01,WIN,1.5,0.5,5.2
2026-06-09 23:15:00,EURGBP,SELL,-7,9,0.86242,0.86265,2026-06-10 00:15:00,LOSS,1.5,5.5,0.0
2026-06-09 23:15:00,GBPCHF,BUY,+7,12,1.06817,1.06815,2026-06-10 00:15:00,LOSS,1.5,23.9,0.8
2026-06-10 02:15:00,AUDJPY,BUY,+7,17,112.75200,112.70900,2026-06-10 03:15:00,LOSS,1.5,20.2,2.5
2026-06-10 11:45:00,CADJPY,BUY,+8,11,115.21000,115.22000,2026-06-10 12:45:00,LOSS,1.5,2.2,2.4
2026-06-10 11:45:00,EURGBP,SELL,-7,9,0.86269,0.86253,2026-06-10 12:45:00,WIN,1.5,1.0,3.0
2026-06-10 11:45:00,EURJPY,BUY,+6,23,185.41400,185.37400,2026-06-10 12:45:00,LOSS,1.5,6.3,5.6
2026-06-10 15:15:00,EURGBP,SELL,-6,9,0.86246,0.86217,2026-06-10 16:15:00,WIN,1.5,1.4,4.0
2026-06-11 02:30:00,AUDJPY,BUY,+7,17,112.38700,112.42100,2026-06-11 03:30:00,WIN,1.5,10.0,10.5
